
45 53096 getCapacityIops getLength ==> 0 , 1
50 14451 isShared attachZone ==> 0 , 0
51 7115 isLocal processDisconnect ==> 0 , 0
54 178066 isManaged supportsTrimChar ==> 0 , 1
56 447245 getStorageProviderName getParent ==> 0 , 1
57 16799 isInMaintenance applyEgressFirewallRules ==> 0 , 0
60 1175769 getName toString ==> 0 , 0
65 1078852 getDataCenterId getLength ==> 0 , 1
67 61743 getUsedBytes getSchedulingPeriod ==> 0 , 0
73 6753 isShared attachZone ==> 0 , 0
74 2029 isLocal executeInSequence ==> 0 , 0
77 167365 isManaged isConnectionInfo ==> 0 , 0
79 17661 getStorageProviderName getPublicIpAddress ==> 0 , 0
80 210637 isInMaintenance setFormInput ==> 0 , 1
81 1234748 getHypervisor getHandler ==> 0 , 1
89 32944 getDataCenterId getBytesRequiredForTemplate ==> 0 , 0
90 751795 getCapacityBytes getPos ==> 0 , 1
97 14894 isShared maintain ==> 0 , 0
98 14895 isLocal cancelMaintain ==> 0 , 0
101 6757 isManaged migrateToObjectStore ==> 0 , 0
103 16817 getStorageProviderName listPodVlans ==> 0 , 1
104 33400 isInMaintenance isExtractable ==> 0 , 0
105 1234748 getHypervisor getHandler ==> 0 , 1
116 8939 getStorageUrl getCapabilities ==> 0 , 1
120 103732 getCpuSockets getMaximumOccurs ==> 0 , 1
147 21152 isInMaintenanceStates processCommands ==> 0 , 1
213 368592 getData getData ==> 0 , 0
214 1336 CreateObjectAnswer PrimaryStorageDownloadAnswer ==> 0 , 0
219 1139 executeInSequence executeInSequence ==> 0 , 0
225 271 AttachCommand DettachCommand ==> 0 , 0
227 521572 getJobId getJobId ==> 0 , 0
228 112218 setRequest HttpRequestParametersHashModel ==> 0 , 1
229 776983 getRequest getRequest ==> 0 , 0
230 1173 DownloadProgressCommand GetDomRVersionCmd ==> 0 , 0
233 253 executeInSequence executeInSequence ==> 0 , 0
250 923 executeInSequence executeInSequence ==> 0 , 0
252 374 getDataTO getDataTO ==> 0 , 0
253 375 executeInSequence executeInSequence ==> 0 , 0
257 292 CopyCmdAnswer AttachAnswer ==> 0 , 0
258 672 executeInSequence executeInSequence ==> 0 , 0
273 24557 getSize getSize ==> 0 , 0
274 508402 setPath Servlets ==> 0 , 1
275 24559 getPath getPath ==> 0 , 0
277 393371 getFormat getFormat ==> 0 , 0
288 328 getDisk getDisk ==> 0 , 0
289 329 setDisk setDisk ==> 0 , 0
290 330 AttachAnswer DettachAnswer ==> 0 , 0
291 331 AttachAnswer DettachAnswer ==> 0 , 0
292 332 AttachAnswer DettachAnswer ==> 0 , 0
311 41417 getChecksum getChecksum ==> 0 , 0
313 850164 getType getType ==> 0 , 0
315 6976 getName getName ==> 0 , 1
316 422 setName setName ==> 0 , 0
330 1342300 DettachAnswer NullNode ==> 0 , 0
333 394 executeInSequence executeInSequence ==> 0 , 0
334 395 getData getData ==> 0 , 0
336 397 CreateObjectCommand DeleteCommand ==> 0 , 0
337 9808 getStatus getStatus ==> 0 , 0
349 29380 getId getId ==> 0 , 1
352 30052 getDescription getDescription ==> 0 , 0
354 168287 setDescription setDescription ==> 0 , 0
356 6756 executeInSequence deleteDataStore ==> 0 , 0
375 799 executeInSequence executeInSequence ==> 0 , 0
384 1445706 getEntityType getEntityType ==> 0 , 0
385 13354 executeInSequence executeInSequence ==> 0 , 0
387 1247460 setUuid WritableID ==> 0 , 1
388 773581 getUuid getUuid ==> 0 , 0
390 740354 getCapacity getCapacity ==> 0 , 0
394 1819 executeInSequence executeInSequence ==> 0 , 0
395 503483 getData get ==> 0 , 0
396 401 DeleteCommand RevertSnapshotCommand ==> 0 , 0
397 402 DeleteCommand RevertSnapshotCommand ==> 0 , 0
398 299737 getData getBytes ==> 0 , 0
402 12943 RevertSnapshotCommand LogicalSwitchPort ==> 0 , 0
403 1260244 getPath getFilePath ==> 0 , 1
405 27479 getId getId ==> 0 , 1
406 73174 setId setId ==> 0 , 0
408 2025 getAccountId getAccountId ==> 0 , 0
419 494705 getName getPath ==> 0 , 0
422 15519 setName setName ==> 0 , 1
431 1266512 getSize getSize ==> 0 , 0
442 820070 setPath setPath ==> 0 , 0
451 30699 getId getId ==> 0 , 1
452 363079 setId Attribute ==> 0 , 1
453 812226 getName getName ==> 0 , 0
456 25302 setHypervisorType setHypervisorType ==> 0 , 0
465 173436 setType setType ==> 0 , 0
471 37754 getUuid getUuid ==> 0 , 0
473 11414 setUuid setUuid ==> 0 , 0
476 6912 getId getId ==> 0 , 1
480 138252 getName getName ==> 0 , 0
485 174708 getHost getHost ==> 0 , 0
486 174709 setHost setHost ==> 0 , 0
489 34312 getPort getPort ==> 0 , 1
497 31770 getUuid getUuid ==> 0 , 1
498 522862 getPath getPath ==> 0 , 1
504 22440 getName getName ==> 0 , 0
505 161391 getSize size ==> 0 , 1
508 25667 setName setName ==> 0 , 0
519 22731 getId getId ==> 0 , 1
558 985165 getUsername getUsername ==> 0 , 0
559 1293357 getPassword getPassword ==> 0 , 1
569 8947 start shutdownProviderInstances ==> 0 , 0
570 6350 stop shutdown ==> 0 , 0
572 46698 getAgentControl getCurrentRecord ==> 0 , 0
573 332601 setAgentControl X ==> 0 , 0
583 792488 setConfigParams acquireTransactionLocks ==> 0 , 0
584 253685 getConfigParams getDeserializedValue ==> 0 , 1
586 1420459 setRunLevel require ==> 0 , 1
666 44048 executeInSequence isSentinelUnion ==> 0 , 0
670 35137 executeInSequence supportsRollingUpgrade ==> 0 , 0
672 13315 executeInSequence executeInSequence ==> 0 , 0
673 1099 getVmName getVmName ==> 0 , 0
687 850750 getPort getPort ==> 0 , 0
690 1986 GetVncPortAnswer GetRouterAlertsAnswer ==> 0 , 0
695 811 getVmName getVmName ==> 0 , 0
